# shape 2,2,1,2 morphisms=16384 cap=400
best 2  0->00 | 1->00 | 2->0 | 3->00 seed=0 cube i=0 d=0
best 5  0->10 | 1->00 | 2->0 | 3->00 seed=0 cube i=0 d=0
best 6  0->20 | 1->00 | 2->0 | 3->00 seed=0 cube i=0 d=0
best 7  0->20 | 1->10 | 2->0 | 3->00 seed=1 cube i=0 d=0
best 11  0->21 | 1->10 | 2->0 | 3->00 seed=1 cube i=0 d=0
best 21  0->31 | 1->10 | 2->0 | 3->00 seed=1 cube i=0 d=0
best 32  0->31 | 1->21 | 2->0 | 3->00 seed=0 cube i=0 d=0
best 71  0->23 | 1->20 | 2->1 | 3->00 seed=0 cube i=0 d=0
best 112  0->23 | 1->20 | 2->1 | 3->00 seed=1 cube i=0 d=0
survivors=0 best=112 0->23 | 1->20 | 2->1 | 3->00 seed=1
