i,d,sum,r,s,k,aligned,nX,nY,nZ,v0,v1,v2,v3,l1,db,Tdot,eq,recon
1401,103,159,1,1,51,0,51,51,51,-2,4,-3,1,10,-1,1,1,1
1402,101,156,0,1,50,0,50,50,50,-2,3,-3,2,10,2,-2,1,1
1405,4,8,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1
1428,52,79,0,0,26,1,26,26,26,0,0,0,0,0,0,0,1,1
1428,128,192,0,0,64,1,64,64,64,-2,4,-4,2,12,0,0,1,1
1429,6,11,1,0,3,0,2,2,2,0,0,0,0,0,0,0,1,1
1429,128,192,1,0,64,0,63,63,63,-2,4,-4,2,12,0,0,1,1
1429,132,199,1,0,66,0,65,65,65,-3,5,-4,2,14,1,-1,1,1
1430,128,192,0,0,64,1,64,64,64,-2,4,-4,2,12,0,0,1,1
1431,132,199,1,0,66,0,65,65,65,-2,5,-5,2,14,-2,2,1,1
1433,4,8,1,0,2,0,1,1,1,-1,1,0,0,2,1,-1,1,1
1433,130,196,1,0,65,0,64,64,64,-3,5,-4,2,14,1,-1,1,1
1434,129,194,0,1,64,0,64,64,64,-3,5,-4,2,14,1,-1,1,1
1435,6,11,1,0,3,0,2,2,2,1,-1,0,0,2,-1,1,1,1
1437,4,8,1,0,2,0,1,1,1,1,-1,0,0,2,-1,1,1,1
1442,41,60,0,1,20,0,20,20,20,-1,1,0,0,2,1,-1,1,1
1449,8,11,1,0,4,0,3,3,3,0,1,-1,0,2,-2,2,1,1
1449,14,18,1,0,7,0,6,6,6,-1,0,0,1,2,4,-4,1,1
1456,60,87,0,0,30,1,30,30,30,-1,2,-2,1,6,0,0,1,1
1457,57,83,1,1,28,0,28,28,28,0,1,-1,0,2,-2,2,1,1
1464,71,105,0,1,35,0,35,35,35,-3,5,-5,3,16,2,-2,1,1
1464,75,111,0,1,37,0,37,37,37,-3,5,-4,2,14,1,-1,1,1
1469,114,170,1,0,57,0,56,56,56,-2,4,-4,2,12,0,0,1,1
1470,9,11,0,1,4,0,4,4,4,-1,1,-1,1,4,2,-2,1,1
1470,124,185,0,0,62,1,62,62,62,-1,2,-2,1,6,0,0,1,1
1474,48,70,0,0,24,1,24,24,24,-1,2,-2,1,6,0,0,1,1
1477,32,48,1,0,16,0,15,15,15,-1,0,1,0,2,3,-3,1,1
1480,27,40,0,1,13,0,13,13,13,0,-1,1,0,2,2,-2,1,1
1484,45,66,0,1,22,0,22,22,22,-1,2,-3,2,8,1,-1,1,1
1487,42,63,1,0,21,0,20,20,20,-1,3,-3,1,8,-2,2,1,1
1491,19,30,1,1,9,0,9,9,9,0,1,0,-1,2,-3,3,1,1
1500,27,42,0,1,13,0,13,13,13,-1,1,-1,1,4,2,-2,1,1
1501,4,8,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1
1508,96,146,0,0,48,1,48,48,48,0,0,0,0,0,0,0,1,1
1509,13,20,1,1,6,0,6,6,6,1,0,-1,0,2,-3,3,1,1
1509,32,48,1,0,16,0,15,15,15,0,2,-3,1,6,-3,3,1,1
1514,173,255,0,1,86,0,86,86,86,-1,1,-1,1,4,2,-2,1,1
1516,15,21,0,1,7,0,7,7,7,-1,1,-1,1,4,2,-2,1,1
1522,48,70,0,0,24,1,24,24,24,0,0,0,0,0,0,0,1,1
1529,24,37,1,0,12,0,11,11,11,0,1,-1,0,2,-2,2,1,1
1581,25,35,1,1,12,0,12,12,12,1,-1,1,-1,4,-2,2,1,1
1583,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
1593,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
1594,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
1624,55,87,0,1,27,0,27,27,27,0,-1,1,0,2,2,-2,1,1
1660,21,35,0,1,10,0,10,10,10,-1,1,-1,1,4,2,-2,1,1
1685,6,11,1,0,3,0,2,2,2,0,0,0,0,0,0,0,1,1
1689,4,8,1,0,2,0,1,1,1,-1,1,0,0,2,1,-1,1,1
1691,6,11,1,0,3,0,2,2,2,1,-1,0,0,2,-1,1,1,1
1693,4,8,1,0,2,0,1,1,1,1,-1,0,0,2,-1,1,1,1
1701,13,20,1,1,6,0,6,6,6,1,0,-1,0,2,-3,3,1,1
1701,32,48,1,0,16,0,15,15,15,0,2,-3,1,6,-3,3,1,1
1701,112,162,1,0,56,0,55,55,55,2,-3,2,-1,8,-1,1,1,1
1702,111,162,0,1,55,0,55,55,55,2,-3,2,-1,8,-1,1,1,1
1708,15,21,0,1,7,0,7,7,7,-1,1,-1,1,4,2,-2,1,1
1716,100,145,0,0,50,1,50,50,50,1,-2,2,-1,6,0,0,1,1
1721,24,37,1,0,12,0,11,11,11,0,1,-1,0,2,-2,2,1,1
1724,108,155,0,0,54,1,54,54,54,1,-2,2,-1,6,0,0,1,1
1741,89,127,1,1,44,0,44,44,44,2,-2,1,-1,6,-3,3,1,1
1762,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
1763,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
1764,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
1765,80,114,1,0,40,0,39,39,39,2,-3,2,-1,8,-1,1,1,1
1765,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
1766,79,114,0,1,39,0,39,39,39,2,-3,2,-1,8,-1,1,1,1
1766,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
1767,84,121,1,0,42,0,41,41,41,1,-2,2,-1,6,0,0,1,1
1768,43,61,0,1,21,0,21,21,21,0,-1,1,0,2,2,-2,1,1
1768,84,121,0,0,42,1,42,42,42,1,-2,2,-1,6,0,0,1,1
1773,25,35,1,1,12,0,12,12,12,1,-1,1,-1,4,-2,2,1,1
1775,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
1785,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
1786,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
1799,30,40,1,0,15,0,14,14,14,0,1,-1,0,2,-2,2,1,1
1834,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
1837,11,13,1,1,5,0,5,5,5,0,1,-1,0,2,-2,2,1,1
1839,9,10,1,1,4,0,4,4,4,-1,1,-1,1,4,2,-2,1,1
1841,15,18,1,1,7,0,7,7,7,0,0,1,-1,2,-1,1,1,1
1842,8,9,0,0,4,1,4,4,4,-1,1,1,-1,4,0,0,1,1
1846,12,15,0,0,6,1,6,6,6,0,0,0,0,0,0,0,1,1
1848,11,13,0,1,5,0,5,5,5,0,-1,1,0,2,2,-2,1,1
1850,8,9,0,0,4,1,4,4,4,1,-1,-1,1,4,0,0,1,1
1852,51,72,0,1,25,0,25,25,25,-1,1,-1,1,4,2,-2,1,1
1858,48,70,0,0,24,1,24,24,24,-1,2,-2,1,6,0,0,1,1
1861,32,48,1,0,16,0,15,15,15,-1,0,1,0,2,3,-3,1,1
1864,27,40,0,1,13,0,13,13,13,0,-1,1,0,2,2,-2,1,1
1868,45,66,0,1,22,0,22,22,22,-1,2,-3,2,8,1,-1,1,1
1871,42,63,1,0,21,0,20,20,20,-1,3,-3,1,8,-2,2,1,1
1875,19,30,1,1,9,0,9,9,9,0,1,0,-1,2,-3,3,1,1
1884,27,42,0,1,13,0,13,13,13,-1,1,-1,1,4,2,-2,1,1
1885,4,8,1,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1
1893,13,20,1,1,6,0,6,6,6,1,0,-1,0,2,-3,3,1,1
1893,32,48,1,0,16,0,15,15,15,0,2,-3,1,6,-3,3,1,1
1900,15,21,0,1,7,0,7,7,7,-1,1,-1,1,4,2,-2,1,1
1913,24,37,1,0,12,0,11,11,11,0,1,-1,0,2,-2,2,1,1
1965,25,35,1,1,12,0,12,12,12,1,-1,1,-1,4,-2,2,1,1
1967,27,37,1,1,13,0,13,13,13,0,-1,2,-1,4,1,-1,1,1
1977,21,29,1,1,10,0,10,10,10,1,-1,0,0,2,-1,1,1,1
1978,21,29,0,1,10,0,10,10,10,0,-1,1,0,2,2,-2,1,1
